id,month,main,sub,minor,date,importance,title,body,remember,statics,source
18,7,B,Government Schemes,SMILE Scheme,Jul 2026,2,West Bengal finalises Pradhan Mantri Cha Shramik Protsahan Yojana,"PMCSPY aims to improve education, health and infrastructure for tea garden workers in North Bengal through a dedicated financial package.",Implementing agency: North Bengal Development Department|Works with Health Dept and Paschim Banga Samagra Siksha Mission,Financial package: ₹313.3 crore|Expected beneficiaries: over 3 lakh workers,West Bengal Government
19,7,H,Static GK Highlights,Important days,Jul 7,2,World Kiswahili Language Day observed on July 7,"The day marks Kiswahili's 1954 adoption by the Tanganyika African National Union to unite Africans against colonial rule, and celebrates it as UNESCO's first recognised African language.","First African language officially recognised by UNESCO|Commemorates July 7, 1954 adoption led by Julius Nyerere",Speakers: over 200 million,UNESCO
20,7,B,Government Reports / Index,Economic Survey,2025-26,3,Madhya Pradesh tops states in new GI tag registrations for 2025-26,"MP added 26 new Geographical Indication tags, ahead of West Bengal's 24, as part of a nationwide total of 125 new registrations.","West Bengal ranked second|GI tags boost legal protection, exports and artisan livelihoods",MP: 26 new GIs|West Bengal: 24 new GIs|National total: 125 new GIs,DPIIT / GI Registry
21,7,B,Infrastructure Projects,Ports & Corridors,Jul 2026,2,Kamarajar Port becomes India's second major port with 18-metre draft,"After Visakhapatnam, Kamarajar Port achieved an 18-metre operational draft following Capital Dredging Phase VI, enabling it to handle fully laden Capesize vessels.","Enables handling of vessels up to 1,70,000 DWT|Deepened approach channels, harbour basin and berths",Project cost: ₹440 crore,Kamarajar Port Limited
22,7,H,Static GK Highlights,Important days,Jul 5,2,World Badminton Day marked on July 5 with 'Raise a Racket' theme,"Established by the Badminton World Federation to mark its 1934 founding, the 2026 campaign encourages fans and communities to take up the sport.",Founded by BWF|2026 theme: 'Raise a Racket',BWF founding year: 1934,Badminton World Federation
23,7,B,Government Schemes,Infrastructure Programs,Jul 2026,3,PM Modi inaugurates India's first greenfield refinery-cum-petrochemical complex in Rajasthan,"The HPCL Rajasthan Refinery at Pachpadra, a joint venture between HPCL and the Rajasthan government, aims to boost energy security and industrial growth in the region.","Located at Pachpadra, Balotra district|Joint venture: HPCL and Government of Rajasthan",-,HPCL / PIB
24,7,B,Government Schemes,Agriculture Schemes,Jul 2026,2,Assam becomes first Indian state to commercially produce Matcha tea,Production began at the Chota Tingrai Tea Estate in Tinsukia with support from India-Japan collaboration on Matcha processing techniques.,First batch sold at Guwahati Tea Auction Centre|Backed by India-Japan technical collaboration,"First batch sale price: ₹3,000",Assam Government / Tea Board
25,7,B,Committees & Appointments,Government Panels,Jul 2026,2,Nidhi Khare chairs 9th Session of the IGE on Consumer Protection Law and Policy,"India chaired the UN Trade and Development session in Geneva, highlighting the National Consumer Helpline and the AI-enabled e-Jagriti platform.","Session organised by UN Trade and Development in Geneva|Nidhi Khare is Secretary, Department of Consumer Affairs",-,Ministry of Consumer Affairs
26,7,C,Global Organizations,UNESCO programs,Jul 2026,2,India hosts BRICS Women Working Group Meeting 2026 in Kochi,"Held under India's BRICS Chairship, the meeting focused on women's leadership, digital/financial inclusion and their role in climate action and food security.","Held in Kochi, Kerala|Theme: 'Building for Resilience, Innovation, Cooperation and Sustainability'",-,Ministry of External Affairs
27,7,B,Government Schemes,Agriculture Schemes,Jul 2026,3,Maharashtra passes Women Farmers' Empowerment Bill 2026,"The unanimously passed bill is India's first law dedicated to recognising women farmers and ensuring they access welfare schemes, including in fisheries and livestock.","First-of-its-kind law in India for women farmers|Covers agriculture, fisheries and livestock rearing",-,Maharashtra Assembly
28,7,B,Government Schemes,SMILE Scheme,Jul 2026,2,UP launches Rashtriya Parivarik Labh Yojana for BPL families,The scheme gives a one-time relief amount to Below Poverty Line families after the death of their primary earning member aged 18-60.,Applicant must be a UP resident and BPL family member,"Relief amount: ₹30,000",UP State Government
29,7,G,Culture & Awards Highlights,Cultural festivals,Jul 3,1,35th Annual Mango Festival inaugurated in New Delhi,"Delhi's three-day Mango Festival, organised by the Delhi Tourism Department, showcased over 400 mango varieties from across India.",Launched by CM Rekha Gupta|Organised by Delhi Tourism Department,Varieties showcased: 400+,Delhi Tourism Department
30,7,C,International Agreements,India–Mauritius MoU,Jul 2026,2,GIFT City signs MoU with Vietnam's Da Nang financial hub,"The pact lets GIFT City, India's sole IFSC, share regulatory and development expertise with Vietnam's new financial hub VIFC-DN to boost cross-border investment.","Covers financial services, fintech, digital innovation and capacity-building|GIFT City positioned as a 'knowledge exporter'",-,GIFT City / IFSCA
31,7,B,Infrastructure Projects,Highways,Jul 2026,2,Adani's Kutch Copper secures LME brand registration for Grade-A cathodes,"Kutch Copper Limited's 'Adani Copper' cathodes, produced at its Mundra facility, gained London Metal Exchange 'Good Delivery' status.",Backed by USD 1.2 billion investment|Among world's largest single-location custom copper smelters,Capacity: 0.5 MTPA,Adani Enterprises / LME
32,7,B,Government Reports / Index,Economic Survey,Jul 2026,4,IMF trims India's FY27 GDP growth forecast to 6.4%,"The IMF's July update cut India's FY27 forecast slightly while raising the FY28 forecast, keeping India ahead of China and the US in growth terms.",FY27 cut by 10 bps to 6.4% (from 6.5%)|FY28 raised by 20 bps to 6.7%,India FY27: 6.4%|China: 4.6%|USA: 2.3%,IMF
33,7,C,Global Organizations,IMF reports,Jul 2026,2,IMF publishes the World Economic Outlook (WEO) report,The WEO is IMF's flagship report tracking global growth forecasts; RBI separately cut its own FY27 India forecast from 6.9% to 6.6% in June 2026.,"IMF founded 1945, HQ Washington D.C.|Managing Director: Kristalina Georgieva",Member countries: 191,IMF
34,7,A,Banking Structure,PSB Number / Classification,Jul 7,2,Punjab & Sind Bank gets nod to open IFSC Banking Unit at GIFT City,"IFSCA cleared the PSU lender's first offshore IBU branch, which will offer foreign currency lending and cross-border trade finance.",RBI approval came in January 2026|IFSCA operational licence granted 7 July 2026,-,IFSCA / RBI
35,7,A,Banking Schemes,AIF,Jul 8-15,1,Kotak Mutual Fund launches Nifty Private Bank ETF,"The new ETF tracks the Nifty Private Bank Index, covering India's top 10 private banks, with its NFO open for a week in July.","NFO period: July 8-15, 2026|Categorised as 'Very High' risk","Minimum investment: ₹1,000|Offer price: ₹10/unit",Kotak Mutual Fund
36,7,D,Defence & Space Highlights,Naval operations,Jul 8,2,India-Japan navies hold PASSEX off the Mumbai coast,The Indian Navy and Japan Maritime Self-Defence Force conducted a joint Passage Exercise in the Arabian Sea off Mumbai.,"JMSDF ship arrived at Mumbai Port on July 5, 2026 for an operational turnaround",-,Indian Navy
37,7,D,Defence & Space Highlights,Naval operations,Jul 8,2,INS Surat takes part in PASSEX with Japanese destroyer JS Takanami,"INS Surat, the fourth and final Visakhapatnam-class (Project 15B) destroyer with 75% indigenous content, exercised alongside JS Takanami (DD-110).","Built by Mazagon Dock Shipbuilders, designed by Navy's Warship Design Bureau|Commissioned in 2025",Indigenous content: 75%,Indian Navy
38,7,D,Defence & Space Highlights,DRDO weapons,Jul 7,4,India signs deal to supply Astra Mk1 missiles to Indonesia,"Indonesia became the first export customer for India's indigenous Astra Mk1 BVRAAM, part of a broader USD 630 million defence cooperation package signed during PM Modi's Jakarta visit.","Developed by DRDO|To be integrated with Su-30 MKI, Tejas Mk1A and Rafale in future","Deal value: ~USD 630 million|Astra Mk1 range: 80-110 km, speed Mach 4.5|Astra Mk2 range: 200 km",DRDO / MEA
39,7,B,Government Schemes,Digital India Initiatives,Jul 2026,2,Tribal Affairs Ministry launches 'TribeX' digital learning platform,"TribeX offers free certificate courses and UGC-recognised PG diplomas to preserve and promote tribal arts, culture, languages and traditional knowledge.",Launched in Bhubaneswar during a National Workshop on Tribal Research Institutes|Launched by Union Minister Jual Oram,Courses currently hosted: 20,Ministry of Tribal Affairs
40,7,C,International Agreements,Defence agreements,Jul 6-7,2,India and Costa Rica hold first Joint Economic and Trade Committee meeting,"The virtual JETCO meeting aimed to deepen bilateral trade ties, addressing standards, food safety and pharmaceutical regulations.",Co-chaired by India's Commerce Dept and Costa Rica's Foreign Trade Ministry,Bilateral trade (2025-26): ~USD 391 million,Ministry of Commerce
41,7,G,Culture & Awards Highlights,Cultural festivals,Jul 8,2,PM Modi visits UNESCO-listed Prambanan Temple in Indonesia,PM Modi and President Prabowo Subianto visited the 9th-century Hindu temple complex in Yogyakarta to launch a joint cultural conservation project.,"Dedicated to Shiva, Vishnu and Brahma|Built by the Sanjaya dynasty|UNESCO World Heritage Site since 1991",-,PIB / MEA
42,7,B,Government Schemes,Infrastructure Programs,Jul 2026,3,Landslide hits under-construction Kwar Hydroelectric Project on the Chenab,"Heavy rain triggered a major landslide near the 540 MW Kwar project in Kishtwar, J&K, being built by Chenab Valley Power Projects Pvt Ltd.",Run-of-river scheme with high dam and underground powerhouse|CVPPL is a joint venture of NHPC (51%) and JKSPDC (49%),"Capacity: 540 MW|Expected annual generation: 1,975 MU",NHPC / CVPPL
43,7,B,Government Reports / Index,Human Development Index,2025-26,3,Chandigarh becomes first to enter 'Uttam' range in PGI 2.0 for 2025-26,"Education Ministry's PGI 2.0 report replaced numerical ranks with grades; Chandigarh topped in Uttam-3, while no state reached the top 'Utkarsh' grade.",Meghalaya placed in the lowest 'Akanshi-2' band|Punjab led in learning outcomes,"Covers 14.67 lakh schools, 24.72 crore students|State scale: 1,000 points across 73 indicators",Ministry of Education
44,7,B,Government Reports / Index,Human Development Index,2025-26,2,'Daksh' introduced as the highest grade in PGI 2.0 and PGI-D,"Daksh represents scores above 940 out of 1000 points, sitting above the previous top grade Utkarsh in the revised grading framework.","Other grades include Utkarsh, Uttam-1/2/3, Prachesta-1/2/3, Akanshi-1/2/3",Daksh threshold: above 940/1000,Ministry of Education
45,7,D,Defence & Space Highlights,Naval operations,Jul 11,3,Stealth frigate Mahendragiri built under Project 17A (Nilgiri-class),INS Mahendragiri (F38) is the sixth Nilgiri-class frigate under the Indian Navy's Project 17A programme.,Sixth ship of the Nilgiri-class|Designed by Warship Design Bureau,-,Indian Navy
46,7,D,Defence & Space Highlights,Naval operations,Jul 11,3,"INS Mahendragiri commissioned at Visakhapatnam, built by Mazagon Dock","Built by Mazagon Dock Shipbuilders Limited, the frigate uses CODOG propulsion and supports maritime security, HADR and search-and-rescue missions.","Commissioning attended by Defence Minister Rajnath Singh|Five earlier ships: Nilgiri, Himgiri, Udaygiri, Taragiri, Vindhyagiri",-,Indian Navy / MDL
47,7,B,Government Schemes,Startup Ranking,Jul 2026,2,Ministry of Textiles launches Handloom Hackathon 2026 - 'Weaving Innovation',"Held as part of National Handloom Day celebrations, the hackathon invites weavers, students and startups to propose scalable solutions for the handloom sector.","Organised by Office of the Development Commissioner (Handlooms)|Open to weavers, students, startups and designers",-,Ministry of Textiles
48,7,C,Global Organizations,World Bank programs,2026,2,UNCTAD releases the World Investment Report 2026,"The report tracks global FDI trends, noting a 6% rise in worldwide flows to USD 1.6 trillion in 2025, ending two years of decline.",Developing Asia the largest FDI recipient region,Global FDI 2025: USD 1.6 trillion (up 6%)|Developing Asia share: ~40% (USD 644 billion),UNCTAD
49,7,B,Government Reports / Index,Economic Survey,2026,3,India ranks 11th globally as an FDI recipient in 2026 report,"India moved up two places to become the 11th largest FDI recipient, with inflows rising sharply, and ranks 18th as an outward investor.",FDI inflows rose 44% to USD 39 billion|Outward FDI rose 50% to USD 36 billion,India FDI rank: 11th|Outward investment rank: 18th,UNCTAD
50,7,B,Government Reports / Index,Economic Survey,2026,2,United States remains top global FDI destination with $277 billion,"The US led global FDI inflows in 2025, followed by Singapore, Hong Kong and China according to UNCTAD's report.","Followed by Singapore, Hong Kong, China",US FDI inflow: USD 277 billion,UNCTAD
51,7,H,Static GK Highlights,Institutions,Jul 2026,3,"University of Minnesota creates SpudCell, first fully synthetic cell","SpudCell is built entirely from non-living chemical components yet can take in nutrients, replicate DNA and divide, aiding origin-of-life and drug-delivery research.","Bottom-up cell built from scratch, not modified from a living cell|Consists of a lipid membrane enclosing synthetic DNA and enzymes",-,University of Minnesota
52,7,B,Government Reports / Index,Human Development Index,2023-24,3,India's higher education GER reaches 30.0% in AISHE 2023-24,"The AISHE report shows total enrolment crossed 4.5 crore, with female GER (31.2%) surpassing male GER for the seventh straight year of gender parity above 1.0.","ST enrolment grew fastest at 75.7%|OBC enrolment grew 60.2%, SC grew 51.4%","Total enrolment: 4.50 crore (2023-24)|GER: 30.0%|Female GER: 31.2%, Male GER: 30.0%|GPI: 1.08",Ministry of Education
53,7,F,Environment Highlights,Ramsar sites,Jul 2026,1,Vihar Lake overflows after heavy Mumbai rainfall,"One of Mumbai's seven water-supply reservoirs, Vihar Lake was built by the British between 1856-1860 on the Mithi River inside Sanjay Gandhi National Park.",Largest lake in the Salsette group of islands|Located between Tulsi and Powai lakes,Built: 1856-1860,Local news reports
54,7,F,Environment Highlights,Wildlife sanctuaries,Jul 2026,2,Eurasian lynx spotted for the first time in Sikkim,"The medium-sized wild cat, found from Western Europe to the Himalayas, is a solitary, crepuscular carnivore listed as Least Concern by IUCN.","Prefers temperate, boreal and alpine habitats|Mainly active at dawn and dusk",IUCN status: Least Concern,Wildlife reports
55,7,D,Defence & Space Highlights,DRDO weapons,Jul 2026,2,Germany to add second Arrow-3 missile defence site in Bavaria,"Arrow-3, jointly developed by Israel and the US, is an exo-atmospheric system designed to intercept long-range ballistic missiles before re-entry.",Part of the Arrow Weapon System (AWS)|World's first operational stand-alone ATBM defence system,-,Defence news reports
56,7,F,Environment Highlights,Wildlife sanctuaries,Jul 2026,2,Natural History Museum Mizoram named India's 21st Designated Repository,"Set up in 2022 under Mizoram University in the Indo-Burma hotspot, the museum specialises in taxonomy of ferns, fungi, moths and fishes and supports endemic species conservation.",Recommended by National Biodiversity Authority|Supports conservation of Leptobrachella tamdil amphibian,Established: 2022|Repository number: 21st,National Biodiversity Authority
57,7,G,Culture & Awards Highlights,National awards,Jul 2026,3,"PM Modi conferred Indonesia's highest civilian honour, Bintang Adipurna","President Prabowo Subianto presented the honour, instituted in 1959, recognising PM Modi's role in strengthening India-Indonesia ties.",PM Modi's sixth foreign state honour of 2026|Career total foreign honours: 35,Bintang Adipurna instituted: 1959,PIB / MEA
58,7,B,Government Schemes,Digital India Initiatives,2023,1,Indiahandmade: government-backed marketplace for artisans developed by Digital India Corporation,"Launched in 2023 for the Ministry of Textiles, the platform lets weavers and artisans sell directly to consumers, including GI-tagged and ODOP products.","Offers digital onboarding, free shipping and secure payments",Launch year: 2023,Ministry of Textiles / Digital India Corporation
59,7,B,Government Reports / Index,Economic Survey,Jul 2026,4,ADB cuts India's FY27 GDP growth forecast to 6.6%,"The Asian Development Outlook lowered its April estimate by 30 basis points, mirroring RBI's own FY27 cut, while keeping the FY28 forecast at 7.3%.",Slightly more optimistic than IMF's 6.4% estimate|India still seen as among fastest-growing major economies,FY27 forecast: 6.6% (from 6.9%)|FY28 forecast retained: 7.3%,Asian Development Bank
60,7,B,Government Schemes,Startup Ranking,Jul 2026,2,IBS Group launches travel-focused AI firm Naviq Technology with $500 million plan,"Singapore-based IBS Group will invest $500 million over five years in Naviq, targeting aviation, cruise, hospitality and logistics with AI-first tools.",Initial capital injection: over ₹200 crore|Founder: V K Mathews; Naviq President: Moizur Rahman,"Investment plan: USD 500 million (~₹4,800 crore) over 5 years",IBS Group
61,7,A,Banking Schemes,AIF,Jul 2026,3,Aviva to become first foreign insurer with 100% ownership of its India business,"UK-based Aviva agreed to buy Dabur Invest Corp's remaining 26% stake, aided by the new 100% FDI limit approved for insurance under the 'Sabka Bima, Sabki Raksha' Bill.",Moves Aviva from 74% to 100% ownership|Aligns with 'Insurance for All by 2047' vision,FDI limit raised from 74% to 100%,IRDAI / Aviva
62,7,D,Defence & Space Highlights,DRDO weapons,Jul 8,3,DRDO flight-tests Pinaka Long-Range Guided Rocket's 60 km minimum range,"Conducted from the Integrated Test Range in Chandipur, Odisha, the trial validated the rocket's minimum strike range after an earlier test confirmed its 120 km maximum range.",Designed by ARDE with HEMRL; DRDL and RCI also involved|Maiden 120 km-range test was in December 2025,Minimum range validated: 60 km|Maximum range (earlier test): 120 km,DRDO
63,7,D,Defence & Space Highlights,ISRO missions,Jul 7,3,"ISRO conducts 5th Integrated Main Parachute Airdrop Test at Sheopur, MP","The IMAT-05 test, run at the ADRDE drop zone, validated the Gaganyaan crew module's main parachute system ahead of the uncrewed G1 mission.","Coordinated with DRDO, IAF and Indian Army|Dropped from an Ilyushin Il-76 aircraft",Drop altitude: 2.5 km,ISRO
64,7,D,Defence & Space Highlights,ISRO missions,Jul 7,3,IMAT-05 test supports the Gaganyaan human spaceflight mission,"The test validated structural integrity and load-bearing capacity of the crew module's parachute system, part of a 10-parachute, 4-type recovery design.","Types: Apex Cover Separation, Drogue, Pilot and Main parachutes",Total parachutes used: 10,ISRO
65,7,E,Sports Highlights,National sports awards,Jul 8,3,Aswath S becomes India's 98th Chess Grandmaster,"The 17-year-old from Nagercoil, Tamil Nadu, sealed his final GM norm at the Pune International GM Round Robin, crossing the 2500 Elo barrier.","38th GM from Tamil Nadu|Runner-up prize: ₹75,000|Current rating: 2517",Age: 17|Standard rating: 2517,AICF / Chess news
